epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,18458.4,0.47906,0.35509,1.06852,0.99108,0.98527,0.99473,0.97013,0.2197,0.15717,0.85285,0.0005842,0.0005842,0.0005842
128,18614.1,0.46927,0.35349,1.05883,0.9874,0.98707,0.99466,0.97004,0.22031,0.15948,0.8547,0.0005809,0.0005809,0.0005809
129,18773.5,0.47179,0.35446,1.05867,0.98912,0.98533,0.99467,0.97085,0.22023,0.15568,0.85676,0.0005776,0.0005776,0.0005776
130,18926.1,0.48264,0.36153,1.0693,0.98881,0.9867,0.99472,0.97056,0.22053,0.15643,0.85676,0.0005743,0.0005743,0.0005743
131,19080.2,0.47717,0.35815,1.06671,0.99035,0.98611,0.99475,0.97054,0.21836,0.15586,0.85331,0.000571,0.000571,0.000571
132,19235.3,0.47954,0.35363,1.06787,0.98949,0.9858,0.99464,0.97126,0.2172,0.1524,0.85375,0.0005677,0.0005677,0.0005677
133,19390.5,0.47369,0.35294,1.06603,0.99079,0.98436,0.9947,0.97233,0.21646,0.15234,0.85219,0.0005644,0.0005644,0.0005644
134,19544.1,0.46578,0.34741,1.05606,0.99168,0.983,0.99465,0.97323,0.21667,0.1521,0.85323,0.0005611,0.0005611,0.0005611
135,19694.1,0.4645,0.35502,1.0612,0.9885,0.9846,0.99467,0.97195,0.217,0.15244,0.85266,0.0005578,0.0005578,0.0005578
136,19842.2,0.46898,0.34971,1.05867,0.99084,0.98541,0.99471,0.97309,0.21369,0.15298,0.85028,0.0005545,0.0005545,0.0005545
137,19988.9,0.46975,0.35664,1.06057,0.9895,0.98584,0.99468,0.97193,0.21471,0.15272,0.85254,0.0005512,0.0005512,0.0005512
138,20135,0.47666,0.35372,1.06718,0.99035,0.98638,0.99472,0.97106,0.21304,0.15244,0.85207,0.0005479,0.0005479,0.0005479
139,20280.7,0.47049,0.35028,1.06377,0.99096,0.98545,0.99472,0.97242,0.21216,0.15306,0.85007,0.0005446,0.0005446,0.0005446
140,20426.6,0.46766,0.34771,1.05387,0.99188,0.98547,0.99475,0.97445,0.21,0.14926,0.84724,0.0005413,0.0005413,0.0005413
141,20572.2,0.46071,0.33952,1.05244,0.99186,0.98633,0.99479,0.97367,0.20824,0.14668,0.84642,0.000538,0.000538,0.000538
142,20718.4,0.47254,0.34788,1.06171,0.9923,0.98386,0.99475,0.97436,0.20989,0.14756,0.84837,0.0005347,0.0005347,0.0005347
143,20864.6,0.46935,0.34326,1.05763,0.98926,0.98699,0.99478,0.97392,0.21026,0.14758,0.84917,0.0005314,0.0005314,0.0005314
144,21010.7,0.46163,0.34381,1.05683,0.99246,0.98534,0.99478,0.97446,0.20899,0.14705,0.84838,0.0005281,0.0005281,0.0005281
145,21164,0.46637,0.34169,1.05492,0.99295,0.9851,0.9948,0.97304,0.2074,0.14651,0.84534,0.0005248,0.0005248,0.0005248
146,21310,0.4668,0.34787,1.05527,0.99283,0.98423,0.99479,0.97279,0.20956,0.14878,0.84765,0.0005215,0.0005215,0.0005215
147,21454.5,0.45826,0.34306,1.04929,0.99011,0.98682,0.99479,0.97466,0.2068,0.14658,0.84487,0.0005182,0.0005182,0.0005182
148,21599.3,0.45309,0.33502,1.04936,0.99154,0.98657,0.99477,0.97418,0.20546,0.14538,0.8441,0.0005149,0.0005149,0.0005149
149,21744.5,0.45886,0.33971,1.05484,0.99163,0.98781,0.9948,0.97475,0.20299,0.14374,0.8444,0.0005116,0.0005116,0.0005116
150,21890.4,0.45481,0.33483,1.04965,0.99101,0.98657,0.99479,0.97576,0.20338,0.14361,0.84441,0.0005083,0.0005083,0.0005083
151,22036.1,0.45657,0.33622,1.04645,0.98843,0.98898,0.99482,0.97574,0.2032,0.14409,0.84245,0.000505,0.000505,0.000505
152,22181.8,0.45671,0.34049,1.05249,0.99036,0.98742,0.99478,0.97528,0.20168,0.14438,0.84191,0.0005017,0.0005017,0.0005017
153,22331.2,0.45342,0.33576,1.05012,0.99084,0.98611,0.99481,0.97626,0.19977,0.14165,0.84118,0.0004984,0.0004984,0.0004984
154,22477.6,0.45764,0.33786,1.05234,0.99147,0.98645,0.99483,0.97629,0.20197,0.14178,0.84305,0.0004951,0.0004951,0.0004951
155,22622.4,0.44959,0.33402,1.04583,0.99354,0.98533,0.99485,0.97636,0.20093,0.1403,0.84164,0.0004918,0.0004918,0.0004918
